Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"43363","1","2019-01-01 03:53:02","0","33","<machine-learning><nlp>","1",""
"43366","1","2019-01-01 06:02:07","2","50","<deep-learning><convnet><image-classification>","1","1"
"43367","1","2019-01-01 06:16:26","0","24","<scikit-learn><tensorflow><scipy>","1",""
"43370","1","2019-01-01 10:06:03","2","36","<classification>","0",""
"43374","1","2019-01-01 13:18:02","3","36","<deep-learning><time-series><cnn><convolution>","1",""
"43375","1","2019-01-01 13:24:28","2","146","<machine-learning><dataset><dimensionality-reduction>","1",""
"43376","1","2019-01-01 14:19:59","4","1186","<machine-learning><python><xgboost>","1","1"
"43380","1","2019-01-01 19:15:29","1","117","<python><neural-network><keras><tensorflow>","1",""
"43381","1","2019-01-01 19:16:04","1","258","<machine-learning><homework>","0",""
"43385","1","2019-01-01 23:12:57","0","40","<optimization><theory>","1",""
"43386","1","2019-01-02 00:11:53","1","388","<machine-learning><sql><fuzzy-logic><evolutionary-algorithms>","1",""
"43392","1","2019-01-02 06:12:45","-1","118","<clustering><reference-request><terminology>","1",""
"43393","1","2019-01-02 09:20:02","1","23","<gaussian>","0",""
"43395","1","2019-01-02 12:20:38","1","51","<classification><unbalanced-classes><audio-recognition>","1",""
"43396","1","2019-01-02 12:54:11","1","30","<deep-learning><lstm><text-generation>","0",""
"43397","1","2019-01-02 13:09:28","0","527","<neural-network><categorical-data>","2","2"
"43400","1","2019-01-02 17:13:28","1","134","<predictive-modeling><labels>","0",""
"43401","1","2019-01-02 17:41:42","2","72","<feature-selection><svm>","0",""
"43404","1","2019-01-02 19:23:46","1","102","<feature-selection><random-forest><feature-engineering>","1",""
"43405","1","2019-01-02 20:13:27","1","176","<machine-learning><neural-network><training><optimization>","1",""
"43408","1","2019-01-02 23:15:37","0","68","<tensorflow><programming>","1",""
"43413","1","2019-01-03 03:08:26","0","242","<deep-learning><nlp><embeddings><deep-network>","1",""
"43416","1","2019-01-03 07:04:56","1","1047","<lstm><feature-scaling>","1",""
"43422","1","2019-01-03 10:06:09","0","63","<machine-learning><data><churn>","1","1"
"43423","1","2019-01-03 10:10:07","1","36","<machine-learning><predictive-modeling><accuracy>","1",""
"43425","1","2019-01-03 10:34:20","1","132","<python><pandas>","1",""
"43433","1","2019-01-03 15:16:26","0","129","<r><bigdata><data><data-cleaning>","1",""
"43436","1","2019-01-03 15:51:14","1","497","<machine-learning><python><multiclass-classification>","2",""
"43438","1","2019-01-03 16:32:26","2","129","<machine-learning><scikit-learn><predictive-modeling><overfitting>","0",""
"43439","1","2019-01-03 16:56:31","0","3388","<machine-learning><python><pandas><dataframe>","2",""
"43444","1","2019-01-03 17:55:45","3","445","<feature-selection><decision-trees><feature-engineering><feature-construction>","3",""
"43447","1","2019-01-03 19:10:53","1","499","<word2vec><activation-function>","2",""
"43450","1","2019-01-03 20:30:12","5","191","<machine-learning><python><cost-function>","2","5"
"43451","1","2019-01-03 21:07:05","2","392","<pytorch><gpu><google><colab>","0",""
"43455","1","2019-01-03 22:42:20","0","82","<orange>","1",""
"43456","1","2019-01-03 23:07:56","0","277","<statistics><tsne>","1",""
"43457","1","2019-01-03 23:56:47","2","1227","<machine-learning><keras><tensorflow><time-series><cnn>","2",""
"43459","1","2019-01-04 00:06:38","0","441","<convnet>","1",""
"43461","1","2019-01-04 00:42:42","1","132","<machine-learning><time-series><feature-engineering><data-leakage>","1",""
"43463","1","2019-01-04 06:03:52","3","1243","<machine-learning><deep-learning><keras><cnn><image-classification>","1",""
"43465","1","2019-01-04 06:56:12","0","191","<neural-network><deep-learning><nlp><dataset>","1",""
"43467","1","2019-01-04 07:15:05","1","68","<neural-network><logistic-regression><recurrent-neural-net><sequential-pattern-mining><mini-batch-gradient-descent>","0",""
"43469","1","2019-01-04 09:30:33","2","90","<machine-learning><r>","1",""
"43471","1","2019-01-04 10:26:10","5","463","<neural-network><classification><overfitting>","3","1"
"43479","1","2019-01-04 12:41:36","2","2525","<machine-learning><deep-learning><keras>","2",""
"43483","1","2019-01-04 13:43:48","2","126","<data-mining><statistics><probability><data-science-model><data-analysis>","2",""
"43485","1","2019-01-04 14:02:00","0","420","<machine-learning><decision-trees><feature-extraction>","1",""
"43488","1","2019-01-04 15:08:51","1","37","<neural-network><tensorflow><accuracy>","0",""
"43493","1","2019-01-04 17:54:25","2","182","<python><neural-network><visualization><jupyter><ipython>","1",""
"43506","1","2019-01-04 18:22:50","2","156","<neural-network>","2",""
"43494","1","2019-01-04 18:31:33","1","118","<feature-selection><unsupervised-learning><pca>","0",""
"43497","1","2019-01-04 20:39:46","2","150","<machine-learning><recommender-system><regularization><matrix-factorisation>","0",""
"43500","1","2019-01-05 00:05:43","0","779","<machine-learning><neural-network><regularization>","1",""
"43502","1","2019-01-05 01:04:35","2","26","<r>","1",""
